"","process","percentage","depth"
"surface.1","variable selection",NA,"surface"
"surface.2","homogeneous selection",NA,"surface"
"surface.3","dispersal limitation",NA,"surface"
"surface.4","homogeneous dispersal",NA,"surface"
"surface.5","drift",NA,"surface"
"09mm.1","variable selection",NA,"09mm"
"09mm.2","homogeneous selection",NA,"09mm"
"09mm.3","dispersal limitation",NA,"09mm"
"09mm.4","homogeneous dispersal",NA,"09mm"
"09mm.5","drift",NA,"09mm"
"27mm.1","variable selection",NA,"27mm"
"27mm.2","homogeneous selection",NA,"27mm"
"27mm.3","dispersal limitation",NA,"27mm"
"27mm.4","homogeneous dispersal",NA,"27mm"
"27mm.5","drift",NA,"27mm"
"45mm.1","variable selection",NA,"45mm"
"45mm.2","homogeneous selection",NA,"45mm"
"45mm.3","dispersal limitation",NA,"45mm"
"45mm.4","homogeneous dispersal",NA,"45mm"
"45mm.5","drift",NA,"45mm"
"63mm.1","variable selection",32.6364692218351,"63mm"
"63mm.2","homogeneous selection",2.67131242740999,"63mm"
"63mm.3","dispersal limitation",23.4610917537747,"63mm"
"63mm.4","homogeneous dispersal",7.78164924506388,"63mm"
"63mm.5","drift",33.4494773519164,"63mm"
"81mm.1","variable selection",22.9018492176387,"81mm"
"81mm.2","homogeneous selection",2.7027027027027,"81mm"
"81mm.3","dispersal limitation",26.3157894736842,"81mm"
"81mm.4","homogeneous dispersal",18.2076813655761,"81mm"
"81mm.5","drift",29.8719772403983,"81mm"
